Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,70,4,Some Random Commen with Id 0
1,0,2,98,8,Some Random Commen with Id 1
2,2,0,50,5,Some Random Commen with Id 2
3,2,0,15,6,Some Random Commen with Id 3
4,2,0,85,6,Some Random Commen with Id 4
5,2,0,151,1,Some Random Commen with Id 5
6,2,0,84,6,Some Random Commen with Id 6
7,2,0,15,7,Some Random Commen with Id 7
8,3,2,138,6,Some Random Commen with Id 8
9,3,2,19,8,Some Random Commen with Id 9
10,3,2,178,4,Some Random Commen with Id 10
11,4,0,199,6,Some Random Commen with Id 11
12,4,0,105,8,Some Random Commen with Id 12
13,4,0,30,6,Some Random Commen with Id 13
14,5,4,142,4,Some Random Commen with Id 14
15,5,4,143,8,Some Random Commen with Id 15
16,5,4,165,1,Some Random Commen with Id 16
17,5,4,103,1,Some Random Commen with Id 17
18,5,4,145,7,Some Random Commen with Id 18
19,6,9,163,3,Some Random Commen with Id 19
20,6,9,31,8,Some Random Commen with Id 20
21,6,9,38,5,Some Random Commen with Id 21
22,6,9,148,8,Some Random Commen with Id 22
23,6,9,6,0,Some Random Commen with Id 23
24,6,9,131,6,Some Random Commen with Id 24
25,7,3,196,8,Some Random Commen with Id 25
26,7,3,44,7,Some Random Commen with Id 26
27,7,3,148,6,Some Random Commen with Id 27
28,7,3,184,8,Some Random Commen with Id 28
29,7,3,69,1,Some Random Commen with Id 29
30,7,3,191,3,Some Random Commen with Id 30
31,7,3,183,2,Some Random Commen with Id 31
32,8,6,12,8,Some Random Commen with Id 32
33,8,6,116,6,Some Random Commen with Id 33
34,8,6,42,6,Some Random Commen with Id 34
35,8,6,7,3,Some Random Commen with Id 35
36,8,6,9,5,Some Random Commen with Id 36
37,8,6,175,1,Some Random Commen with Id 37
38,8,6,76,1,Some Random Commen with Id 38
39,10,8,96,9,Some Random Commen with Id 39
40,11,6,120,8,Some Random Commen with Id 40
41,11,6,145,2,Some Random Commen with Id 41
42,11,6,24,1,Some Random Commen with Id 42
43,11,6,66,0,Some Random Commen with Id 43
44,11,6,77,6,Some Random Commen with Id 44
45,12,3,148,5,Some Random Commen with Id 45
46,12,3,71,0,Some Random Commen with Id 46
47,12,3,112,2,Some Random Commen with Id 47
48,12,3,94,1,Some Random Commen with Id 48
49,12,3,65,5,Some Random Commen with Id 49
50,12,3,97,5,Some Random Commen with Id 50
51,12,3,95,3,Some Random Commen with Id 51
52,12,3,181,6,Some Random Commen with Id 52
53,12,3,101,3,Some Random Commen with Id 53
54,13,5,123,8,Some Random Commen with Id 54
55,13,5,87,9,Some Random Commen with Id 55
56,13,5,60,7,Some Random Commen with Id 56
57,13,5,115,7,Some Random Commen with Id 57
58,13,5,119,2,Some Random Commen with Id 58
59,13,5,175,0,Some Random Commen with Id 59
60,13,5,160,7,Some Random Commen with Id 60
61,13,5,45,8,Some Random Commen with Id 61
62,14,6,46,9,Some Random Commen with Id 62
63,14,6,128,2,Some Random Commen with Id 63
64,14,6,199,1,Some Random Commen with Id 64
65,14,6,168,1,Some Random Commen with Id 65
66,14,6,91,5,Some Random Commen with Id 66
67,14,6,17,7,Some Random Commen with Id 67
68,14,6,99,2,Some Random Commen with Id 68
69,14,6,189,6,Some Random Commen with Id 69
70,15,7,127,8,Some Random Commen with Id 70
71,15,7,30,8,Some Random Commen with Id 71
72,16,2,25,3,Some Random Commen with Id 72
73,16,2,85,0,Some Random Commen with Id 73
74,16,2,77,8,Some Random Commen with Id 74
75,16,2,93,9,Some Random Commen with Id 75
76,16,2,174,5,Some Random Commen with Id 76
77,16,2,199,2,Some Random Commen with Id 77
78,16,2,168,2,Some Random Commen with Id 78
79,17,2,2,5,Some Random Commen with Id 79
80,17,2,23,7,Some Random Commen with Id 80
81,17,2,43,0,Some Random Commen with Id 81
82,17,2,113,6,Some Random Commen with Id 82
83,17,2,24,0,Some Random Commen with Id 83
84,17,2,13,5,Some Random Commen with Id 84
85,18,9,60,3,Some Random Commen with Id 85
86,18,9,142,0,Some Random Commen with Id 86
87,18,9,69,3,Some Random Commen with Id 87
88,18,9,173,3,Some Random Commen with Id 88
89,19,7,122,3,Some Random Commen with Id 89
90,19,7,133,4,Some Random Commen with Id 90
91,20,9,170,9,Some Random Commen with Id 91
92,20,9,173,5,Some Random Commen with Id 92
93,22,9,84,7,Some Random Commen with Id 93
94,22,9,107,1,Some Random Commen with Id 94
95,22,9,26,7,Some Random Commen with Id 95
96,22,9,75,5,Some Random Commen with Id 96
97,23,4,17,9,Some Random Commen with Id 97
98,23,4,181,1,Some Random Commen with Id 98
99,23,4,135,2,Some Random Commen with Id 99
100,23,4,83,0,Some Random Commen with Id 100
101,24,1,171,2,Some Random Commen with Id 101
102,24,1,57,5,Some Random Commen with Id 102
103,24,1,19,8,Some Random Commen with Id 103
104,25,3,185,7,Some Random Commen with Id 104
105,25,3,73,7,Some Random Commen with Id 105
106,25,3,33,9,Some Random Commen with Id 106
107,25,3,144,9,Some Random Commen with Id 107
108,25,3,74,9,Some Random Commen with Id 108
109,25,3,85,6,Some Random Commen with Id 109
110,25,3,63,5,Some Random Commen with Id 110
111,25,3,191,1,Some Random Commen with Id 111
112,25,3,114,7,Some Random Commen with Id 112
113,26,0,195,5,Some Random Commen with Id 113
114,26,0,53,3,Some Random Commen with Id 114
115,26,0,86,9,Some Random Commen with Id 115
116,26,0,72,4,Some Random Commen with Id 116
117,26,0,122,6,Some Random Commen with Id 117
118,26,0,18,3,Some Random Commen with Id 118
119,26,0,69,6,Some Random Commen with Id 119
120,26,0,153,8,Some Random Commen with Id 120
121,26,0,173,7,Some Random Commen with Id 121
122,27,5,57,9,Some Random Commen with Id 122
123,27,5,105,8,Some Random Commen with Id 123
124,27,5,174,2,Some Random Commen with Id 124
125,28,8,38,8,Some Random Commen with Id 125
126,28,8,111,9,Some Random Commen with Id 126
127,28,8,99,0,Some Random Commen with Id 127
128,29,2,186,2,Some Random Commen with Id 128
129,29,2,82,7,Some Random Commen with Id 129
130,29,2,146,6,Some Random Commen with Id 130
131,29,2,100,1,Some Random Commen with Id 131
132,29,2,171,2,Some Random Commen with Id 132
133,29,2,45,6,Some Random Commen with Id 133
134,30,7,120,3,Some Random Commen with Id 134
135,30,7,35,4,Some Random Commen with Id 135
136,30,7,132,4,Some Random Commen with Id 136
137,30,7,41,6,Some Random Commen with Id 137
138,30,7,12,4,Some Random Commen with Id 138
139,30,7,95,1,Some Random Commen with Id 139
140,31,8,184,8,Some Random Commen with Id 140
141,31,8,199,7,Some Random Commen with Id 141
142,31,8,19,7,Some Random Commen with Id 142
143,31,8,158,8,Some Random Commen with Id 143
144,31,8,96,0,Some Random Commen with Id 144
145,31,8,163,9,Some Random Commen with Id 145
146,31,8,63,0,Some Random Commen with Id 146
147,31,8,51,6,Some Random Commen with Id 147
148,31,8,104,5,Some Random Commen with Id 148
149,32,2,69,5,Some Random Commen with Id 149
150,32,2,73,6,Some Random Commen with Id 150
151,32,2,75,2,Some Random Commen with Id 151
152,32,2,90,8,Some Random Commen with Id 152
153,32,2,175,9,Some Random Commen with Id 153
154,32,2,84,4,Some Random Commen with Id 154
155,32,2,54,7,Some Random Commen with Id 155
156,32,2,186,9,Some Random Commen with Id 156
157,33,5,61,1,Some Random Commen with Id 157
158,34,9,122,2,Some Random Commen with Id 158
159,34,9,13,5,Some Random Commen with Id 159
160,34,9,38,6,Some Random Commen with Id 160
161,34,9,167,9,Some Random Commen with Id 161
162,34,9,70,6,Some Random Commen with Id 162
163,34,9,177,5,Some Random Commen with Id 163
164,35,6,9,9,Some Random Commen with Id 164
165,35,6,195,5,Some Random Commen with Id 165
166,35,6,100,2,Some Random Commen with Id 166
167,35,6,27,9,Some Random Commen with Id 167
168,36,2,96,4,Some Random Commen with Id 168
169,36,2,76,8,Some Random Commen with Id 169
170,37,1,92,8,Some Random Commen with Id 170
171,37,1,190,4,Some Random Commen with Id 171
172,37,1,129,2,Some Random Commen with Id 172
173,37,1,75,6,Some Random Commen with Id 173
174,37,1,181,6,Some Random Commen with Id 174
175,37,1,136,5,Some Random Commen with Id 175
176,37,1,12,5,Some Random Commen with Id 176
177,38,7,174,0,Some Random Commen with Id 177
178,38,7,187,7,Some Random Commen with Id 178
179,38,7,9,1,Some Random Commen with Id 179
180,38,7,46,0,Some Random Commen with Id 180
181,38,7,195,0,Some Random Commen with Id 181
182,38,7,46,4,Some Random Commen with Id 182
183,39,2,105,9,Some Random Commen with Id 183
184,39,2,34,6,Some Random Commen with Id 184
